Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.7470),0.869475847893114,0.8359683794466403,0.8523929471032745,0.48305268287400505,0.870204920021701,"[[19, 127], [166, 846]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.7513),0.8693877551020408,0.841897233201581,0.855421686746988,0.4825924522172289,0.8701044029399837,"[[18, 128], [160, 852]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.7228),0.8695187165775401,0.8033596837944664,0.8351309707241911,0.483871622719151,0.8703842950200286,"[[24, 122], [199, 813]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.7435),0.8704663212435233,0.8300395256916996,0.8497723823975719,0.4869375710650279,0.8710534040563326,"[[21, 125], [172, 840]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.7539),0.8712972420837589,0.8428853754940712,0.8568558513309895,0.4899358384319671,0.8717094025425831,"[[20, 126], [159, 853]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.7332),0.8696109358569927,0.817193675889328,0.8425878757004586,0.4839393036980887,0.8703987610661892,"[[22, 124], [185, 827]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.7478),0.8703703703703703,0.8359683794466403,0.8528225806451613,0.48647734040825164,0.8709527125273915,"[[20, 126], [166, 846]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.7504),0.8692543411644535,0.8409090909090909,0.8548468106479156,0.4820983810709838,0.8699966929959997,"[[18, 128], [161, 851]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.7133),0.8617021276595744,0.8003952569169961,0.8299180327868853,0.45499214900644325,0.8641409832460625,"[[16, 130], [202, 810]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.7513),0.8671399594320487,0.8448616600790514,0.8558558558558559,0.4738006930532243,0.8681918894117542,"[[15, 131], [157, 855]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.7591),0.8690835850956697,0.8527667984189723,0.8608478802992517,0.4811779197574313,0.8697957473186169,"[[16, 130], [149, 863]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.7547),0.8676767676767677,0.8488142292490118,0.8581418581418582,0.47577697763820453,0.8686207391244357,"[[15, 131], [153, 859]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.7539),0.8668012108980827,0.8488142292490118,0.8577134298552173,0.472352320103958,0.8678775540721725,"[[14, 132], [153, 859]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.7573),0.8680765357502518,0.8517786561264822,0.859850374064838,0.4772591910769397,0.8689427437927584,"[[15, 131], [150, 862]]"
PCA,8,Angle Embedding,2,15,2,9,2,No,Top half,tensor(0.7358),0.870020964360587,0.8201581027667985,0.844354018311292,0.4854215171368239,0.8707222737218444,"[[22, 124], [182, 830]]"
PCA,8,Angle Embedding,2,15,2,9,2,No,Top half,tensor(0.7487),0.8712667353244078,0.8359683794466403,0.853252647503782,0.4899019979424982,0.871702045285411,"[[21, 125], [166, 846]]"
PCA,8,Angle Embedding,2,15,2,9,2,No,Top half,tensor(0.7487),0.8705035971223022,0.8369565217391305,0.8534005037783375,0.48697141155449675,0.8710607094410077,"[[20, 126], [165, 847]]"
PCA,8,Angle Embedding,2,15,3,2,1,No,Top half,tensor(0.7159),0.8621420996818664,0.8033596837944664,0.8317135549872122,0.4564743624451784,0.8644582184032472,"[[16, 130], [199, 813]]"
PCA,8,Angle Embedding,2,15,3,2,1,No,Top half,tensor(0.7444),0.8668032786885246,0.8359683794466403,0.8511066398390341,0.47277871027126533,0.8679707366747813,"[[16, 130], [166, 846]]"
PCA,8,Angle Embedding,2,15,3,2,1,No,Top half,tensor(0.7487),0.8674821610601428,0.8409090909090909,0.8539889613647768,0.4752490660024906,0.8685064506355565,"[[16, 130], [161, 851]]"
PCA,8,Angle Embedding,2,15,3,2,2,No,Top half,tensor(0.6995),0.8648351648351649,0.7776679841897233,0.8189386056191468,0.4676011153825328,0.8668551374284648,"[[23, 123], [225, 787]]"
PCA,8,Angle Embedding,2,15,3,2,2,No,Top half,tensor(0.7418),0.8686659772492245,0.8300395256916996,0.8489135927235979,0.4800882559965347,0.8695590473812229,"[[19, 127], [172, 840]]"
PCA,8,Angle Embedding,2,15,3,2,2,No,Top half,tensor(0.7487),0.8689866939611054,0.8389328063241107,0.8536953242835597,0.4811102387784938,0.8697813767384727,"[[18, 128], [163, 849]]"
PCA,8,Angle Embedding,3,2,1,3,1,No,Top half,tensor(0.7556),0.8678102926337034,0.849802371541502,0.8587119321018472,0.4762710487844496,0.8687280392014756,"[[15, 131], [152, 860]]"
