Preprocessing Method,Num of Features,Encoding Method,Convolutional Layer Architecture,Num of Params,Pooling Architecture,Num of Params,Convs per Layer,Special Pooling,Pooling Direction,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Confusion Matrix
PCA,8,Angle Embedding,1,3,1,3,1,No,Top half,tensor(0.8273),0.8704379562043796,0.9426877470355731,0.9051233396584439,0.48504250365477286,0.870637551654393,"[[4, 142], [58, 954]]"
PCA,8,Angle Embedding,1,3,1,3,1,No,Top half,tensor(0.8264),0.8703196347031964,0.941699604743083,0.9046037019458947,0.48454843250852786,0.8705295696443587,"[[4, 142], [59, 953]]"
PCA,8,Angle Embedding,1,3,1,3,1,No,Top half,tensor(0.8299),0.8707916287534122,0.9456521739130435,0.9066792989104691,0.48652471709350803,0.8709616789666522,"[[4, 142], [55, 957]]"
PCA,8,Angle Embedding,1,3,1,3,2,No,Top half,tensor(0.8169),0.8690036900369004,0.9308300395256917,0.8988549618320609,0.47911364989983213,0.8693437892313757,"[[4, 142], [70, 942]]"
PCA,8,Angle Embedding,1,3,1,3,2,No,Top half,tensor(0.8204),0.8688073394495412,0.9357707509881423,0.90104662226451,0.4781593480968109,0.8691357572951803,"[[3, 143], [65, 947]]"
PCA,8,Angle Embedding,1,3,1,3,2,No,Top half,tensor(0.8247),0.869406392694064,0.9407114624505929,0.9036544850498339,0.48062970382803616,0.869674030637718,"[[3, 143], [60, 952]]"
PCA,8,Angle Embedding,1,3,2,9,1,No,Top half,tensor(0.8031),0.8726235741444867,0.9071146245059288,0.8895348837209303,0.4946532026639233,0.8727440444824897,"[[12, 134], [94, 918]]"
PCA,8,Angle Embedding,1,3,2,9,1,No,Top half,tensor(0.8169),0.8710575139146568,0.9278656126482213,0.8985645933014353,0.48790540906383667,0.871264037461745,"[[7, 139], [73, 939]]"
PCA,8,Angle Embedding,1,3,2,9,1,No,Top half,tensor(0.8238),0.8720073664825047,0.9357707509881423,0.9027645376549095,0.4918579782337972,0.8721302489949988,"[[7, 139], [65, 947]]"
PCA,8,Angle Embedding,1,3,2,9,2,No,Top half,tensor(0.8290),0.8727106227106227,0.941699604743083,0.905893536121673,0.4948224051112675,0.8727811621058974,"[[7, 139], [59, 953]]"
PCA,8,Angle Embedding,1,3,2,9,2,No,Top half,tensor(0.8299),0.8728270814272644,0.9426877470355731,0.9064133016627078,0.4953164762575126,0.8728897507281402,"[[7, 139], [58, 954]]"
PCA,8,Angle Embedding,1,3,2,9,2,No,Top half,tensor(0.8290),0.8727106227106227,0.941699604743083,0.905893536121673,0.4948224051112675,0.8727811621058974,"[[7, 139], [59, 953]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.8031),0.868421052631579,0.9130434782608695,0.8901734104046243,0.47706968433591423,0.8688992700268355,"[[6, 140], [88, 924]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.8143),0.8686401480111008,0.9278656126482213,0.8972766364070712,0.47763143646109696,0.869021046766647,"[[4, 142], [73, 939]]"
PCA,8,Angle Embedding,1,3,3,2,1,No,Top half,tensor(0.8187),0.8712962962962963,0.9298418972332015,0.8996175908221797,0.4888935513563268,0.8714804091451422,"[[7, 139], [71, 941]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.8100),0.8680297397769516,0.9229249011857708,0.8946360153256705,0.4751610807298717,0.8684837747633213,"[[4, 142], [78, 934]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.8135),0.8685185185185185,0.9268774703557312,0.8967495219885278,0.4771373653148519,0.8689135289214136,"[[4, 142], [74, 938]]"
PCA,8,Angle Embedding,1,3,3,2,2,No,Top half,tensor(0.8212),0.8702851885924563,0.9347826086956522,0.9013816102906146,0.484514592019059,0.8705222775544937,"[[5, 141], [66, 946]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.8100),0.8680297397769516,0.9229249011857708,0.8946360153256705,0.4751610807298717,0.8684837747633213,"[[4, 142], [78, 934]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.8221),0.8697247706422019,0.9367588932806324,0.9019980970504281,0.4820780767773025,0.8699901165416376,"[[4, 142], [64, 948]]"
PCA,8,Angle Embedding,2,15,1,3,1,No,Top half,tensor(0.8264),0.8709972552607502,0.9407114624505929,0.9045130641330166,0.48747901889652934,0.8711705732893833,"[[5, 141], [60, 952]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.8187),0.8726765799256505,0.9278656126482213,0.8994252873563218,0.49475472413232985,0.8727663131379535,"[[9, 137], [73, 939]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.8264),0.8723599632690542,0.9387351778656127,0.9043312708234175,0.49334019167253235,0.8724555725015586,"[[7, 139], [62, 950]]"
PCA,8,Angle Embedding,2,15,1,3,2,No,Top half,tensor(0.8282),0.8725939505041247,0.9407114624505929,0.9053732762719924,0.4943283339650224,0.8726726028068661,"[[7, 139], [60, 952]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.7971),0.8675496688741722,0.9061264822134387,0.8864185596906718,0.47361118631219884,0.8681477261481558,"[[6, 140], [95, 917]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.8109),0.8674698795180723,0.924901185770751,0.8952654232424676,0.4727245654881152,0.8679543174232904,"[[3, 143], [76, 936]]"
PCA,8,Angle Embedding,2,15,2,9,1,No,Top half,tensor(0.8230),0.869167429094236,0.9387351778656127,0.9026128266033254,0.47964156153554605,0.8694586283651187,"[[3, 143], [62, 950]]"
PCA,8,Angle Embedding,2,15,2,9,2,No,Top half,tensor(0.8083),0.8664192949907236,0.9229249011857708,0.8937799043062201,0.46831176566137855,0.8669974551681267,"[[2, 144], [78, 934]]"
PCA,8,Angle Embedding,2,15,2,9,2,No,Top half,tensor(0.8247),0.8687329079307201,0.941699604743083,0.9037458511142723,0.4776991174400347,0.8690353496698825,"[[2, 144], [59, 953]]"
PCA,8,Angle Embedding,2,15,2,9,2,No,Top half,tensor(0.8290),0.8693284936479129,0.9466403162055336,0.9063386944181646,0.48016947317125996,0.869573524465672,"[[2, 144], [54, 958]]"
PCA,8,Angle Embedding,2,15,3,2,1,No,Top half,tensor(0.7971),0.8668555240793201,0.9071146245059288,0.8865282472235636,0.4706805999241973,0.8675117619134947,"[[5, 141], [94, 918]]"
PCA,8,Angle Embedding,2,15,3,2,1,No,Top half,tensor(0.8187),0.8685661764705882,0.9337944664031621,0.9,0.47717120580432076,0.8689206658044138,"[[3, 143], [67, 945]]"
PCA,8,Angle Embedding,2,15,3,2,1,No,Top half,tensor(0.8238),0.8692870201096892,0.9397233201581028,0.9031339031339031,0.4801356326817911,0.8695663140687877,"[[3, 143], [61, 951]]"
